SpeciesUID,CAIS_intergenic,Percent_GC_intergenic
492,1.0506999084111999,0.418488704
493,1.1254473552251651,0.399629571
496,1.0466021800174559,0.456039748
497,1.0857692710678084,0.425641725
498,1.0514340503869608,0.413878622
499,1.0494875811645523,0.431835518
502,1.087219136085274,0.38676565
503,1.1191453176324098,0.400793371
506,1.0636953444420654,0.429961874
510,1.092776283755575,0.407526306
511,1.0622562190236873,0.423139144
515,1.0959280145423165,0.395496052
516,1.0620203704235485,0.422384329
518,1.100670708793734,0.415373049
520,1.05414508296602,0.424831567
522,1.050116510158438,0.43087714
526,1.0527562298225293,0.416819111
527,1.07742130800724,0.448787013
528,1.1251864470386723,0.381646992
531,1.0764974939713652,0.426488732
532,1.0537614227637804,0.421338635
534,1.0969011327444878,0.398395567
535,1.0486085758223176,0.428630721
536,1.1385906695909989,0.423139073
538,1.0776394938089144,0.426484407
539,1.1256490862005653,0.399797937
540,1.089383423285503,0.364903919
541,1.0860378960047083,0.368748597
542,1.0891476775063587,0.364363401
543,1.1261208907484803,0.406921713
545,1.0732590121831929,0.427388255
546,1.0521105881584474,0.423572806
547,1.0399509290245788,0.402011827
548,1.0526630338267355,0.405187661
549,1.0431394305938444,0.395892451
550,1.0740274475263856,0.420932959

