PfamUID,Age_oldest
PF01358,1660.0000
PF01359,1577.8820
PF01363,3145.0000
PF01365,1934.5575
PF01367,3145.0000
PF01369,3145.0000
PF01370,3145.0000
PF01373,3145.0000
PF01379,3145.0000
PF01380,3145.0000
PF01381,4090.0000
PF01382,3145.0000
PF01383,1496.5197
PF01384,3145.0000
PF01387,3145.0000
PF01388,2100.6973
PF01390,949.9125
PF01391,3145.0000
PF01392,1934.5575
PF01393,1577.8820
PF01394,1934.5575
PF01395,1028.4421
PF01396,3145.0000
PF01397,1577.8820
PF01398,3145.0000
PF01399,3145.0000
PF01400,3145.0000
PF01401,3145.0000
PF01404,1028.4421
PF01405,3145.0000
PF01406,3145.0000
PF01408,4090.0000
PF01409,4090.0000
PF01410,3145.0000
PF01411,4090.0000
PF01412,2230.0000
PF01413,949.9125
PF01414,1028.4421
PF01415,331.8312
PF01416,4090.0000
PF01417,2230.0000
PF01418,3145.0000
PF01419,3145.0000
PF01421,1660.0000
PF01422,2230.0000
PF01423,3145.0000
PF01424,3145.0000
PF01425,3145.0000
PF01426,1934.5575
PF01428,3145.0000
PF01429,1934.5575
PF01430,3145.0000
PF01431,3145.0000
PF01432,3145.0000
PF01434,3145.0000
PF01435,3145.0000
PF01436,3145.0000
PF01437,1487.8820
PF01439,306.0686
PF01442,3145.0000
PF01448,1934.5575
PF01450,3145.0000
PF01451,3145.0000
PF01453,1660.0000
PF01454,1934.5575
PF01457,3145.0000
PF01458,3145.0000
PF01459,1934.5575
PF01462,1934.5575
PF01463,948.0000
PF01464,3145.0000
PF01465,1934.5575
PF01466,2230.0000
PF01467,3145.0000
PF01470,3145.0000
PF01471,3145.0000
PF01472,4090.0000
PF01474,3145.0000
PF01476,3145.0000
PF01477,3145.0000
PF01479,3145.0000
PF01480,1934.5575
PF01483,3145.0000
PF01484,810.2778
PF01485,3145.0000
PF01486,1934.5575
PF01487,3145.0000
PF01488,4090.0000
PF01490,3145.0000
PF01491,3145.0000
PF01493,4090.0000
PF01494,3145.0000
PF01496,4090.0000
PF01498,3145.0000
PF01500,244.4157
PF01501,3145.0000
PF01502,3145.0000
PF01503,3145.0000
PF01504,2230.0000
PF01505,3145.0000
PF01507,3145.0000
PF01509,4090.0000
PF01512,3145.0000
PF01513,3145.0000
PF01515,3145.0000
PF01521,3145.0000
PF01522,3145.0000
PF01523,4090.0000
PF01529,2230.0000
PF01530,1028.4421
PF01531,3145.0000
PF01532,3145.0000
PF01534,1934.5575
PF01535,3145.0000
PF01536,3145.0000
PF01544,3145.0000
PF01545,4090.0000
PF01549,1934.5575
PF01554,3145.0000
PF01557,3145.0000
PF01562,3145.0000
PF01564,3145.0000
PF01565,3145.0000
PF01566,4090.0000
PF01569,3145.0000
PF01571,3145.0000
PF01576,3145.0000
PF01579,810.2778
PF01581,886.0000
PF01582,1577.8820
PF01583,3145.0000
PF01585,2230.0000
PF01586,824.0000
PF01588,3145.0000
PF01590,3145.0000
PF01592,3145.0000
PF01593,4090.0000
PF01594,4090.0000
PF01595,3145.0000
PF01597,3145.0000
PF01599,3145.0000
PF01602,3145.0000
PF01603,2100.6973
PF01607,3145.0000
PF01608,1487.8820
PF01610,3145.0000
PF01612,3145.0000
PF01619,3145.0000
PF01620,41.0909
PF01624,3145.0000
PF01630,3145.0000
PF01632,3145.0000
PF01633,3145.0000
PF01634,3145.0000
PF01637,3145.0000
PF01642,3145.0000
PF01643,3145.0000
PF01644,3145.0000
PF01645,3145.0000
PF01648,3145.0000
PF01649,3145.0000
PF01650,3145.0000
